arm,topic,condition,turn,volunteering,stance,social_adaptation,specificity,style_continuity,detail_continuity,independence,limitation,coherence,relevance,flattery,insufficient_evidence,evidence
Cp,library,WS,8,,,,,,,,,,,,,
Cp,walk,NG,1,,,,,,,,,,,,,
Cp,walk,NG,2,,,,,,,,,,,,,
Cp,walk,NG,3,,,,,,,,,,,,,
Cp,walk,NG,4,,,,,,,,,,,,,
Cp,walk,NG,5,,,,,,,,,,,,,
Cp,walk,NG,6,,,,,,,,,,,,,
Cp,walk,NG,7,,,,,,,,,,,,,
Cp,walk,NG,8,,,,,,,,,,,,,
Cp,walk,NS,1,,,,,,,,,,,,,
Cp,walk,NS,2,,,,,,,,,,,,,
Cp,walk,NS,3,,,,,,,,,,,,,
Cp,walk,NS,4,,,,,,,,,,,,,
Cp,walk,NS,5,,,,,,,,,,,,,
Cp,walk,NS,6,,,,,,,,,,,,,
Cp,walk,NS,7,,,,,,,,,,,,,
Cp,walk,NS,8,,,,,,,,,,,,,
Cp,walk,WG,1,,,,,,,,,,,,,
Cp,walk,WG,2,,,,,,,,,,,,,
Cp,walk,WG,3,,,,,,,,,,,,,
Cp,walk,WG,4,,,,,,,,,,,,,
Cp,walk,WG,5,,,,,,,,,,,,,
Cp,walk,WG,6,,,,,,,,,,,,,
Cp,walk,WG,7,,,,,,,,,,,,,
Cp,walk,WG,8,,,,,,,,,,,,,
Cp,walk,WS,1,,,,,,,,,,,,,
Cp,walk,WS,2,,,,,,,,,,,,,
Cp,walk,WS,3,,,,,,,,,,,,,
Cp,walk,WS,4,,,,,,,,,,,,,
Cp,walk,WS,5,,,,,,,,,,,,,
Cp,walk,WS,6,,,,,,,,,,,,,
Cp,walk,WS,7,,,,,,,,,,,,,
Cp,walk,WS,8,,,,,,,,,,,,,
